Turn, Event, GP Individual, GP Class, GP Era, GP Cost, Recipient Player, Timeline Index
20, Granted to Player, GREAT_PERSON_INDIVIDUAL_ZOROASTER, GREAT_PERSON_CLASS_PROPHET, ERA_CLASSICAL, 60, 2, 20
20, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_SIDDHARTHA_GAUTAMA, GREAT_PERSON_CLASS_PROPHET, ERA_CLASSICAL, 60, -1, -1
23, Great Person Activated, GREAT_PERSON_INDIVIDUAL_ZOROASTER, GREAT_PERSON_CLASS_PROPHET, Era TBD, 2
28, Granted to Player, GREAT_PERSON_INDIVIDUAL_EUCLID, GREAT_PERSON_CLASS_SCIENTIST, ERA_CLASSICAL, 60, 0, 28
28, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_HYPATIA, GREAT_PERSON_CLASS_SCIENTIST, ERA_CLASSICAL, 60, -1, -1
29, Great Person Activated, GREAT_PERSON_INDIVIDUAL_EUCLID, GREAT_PERSON_CLASS_SCIENTIST, Era TBD, 0
