[2020-01-04 13:17:27]	,        SerialEvent::OverlaySystemInitialized, 45.87 ms
[2020-01-04 13:17:27]	,    Civ6App_PublishSerialEvents, 156.47 ms
[2020-01-04 13:17:27]	,Civ6App_PublishEvents, 1073.51 ms
[2020-01-04 13:17:27]	,Civ6App_UpdateFrame, 125.09 ms
[2020-01-04 13:17:27]	,----- FRAME: 5889 time: 1198.82ms Moving avg: 20.85ms 2187 frames since last 
[2020-01-04 13:17:31]	,            UnitContext_Update, 176.06 ms
[2020-01-04 13:17:31]	,        WorldView_Update, 202.86 ms
[2020-01-04 13:17:31]	,    Civ6App_UpdateFrame, 257.32 ms
[2020-01-04 13:17:31]	,----- FRAME: 6082 time: 257.61ms Moving avg: 10.19ms 194 frames since last 
[2020-01-04 13:17:31]	,            Graphics_SubmissionIncFrame, 41.13 ms
[2020-01-04 13:17:31]	,        Civ6App_Graphics_IncFrame, 41.38 ms
[2020-01-04 13:17:31]	,----- FRAME: 6085 time: 53.54ms Moving avg: 11.46ms 4 frames since last 
[2020-01-04 13:17:31]	,            SequenceEvent::LoadGameViewStateDone, 8.07 ms
[2020-01-04 13:17:31]	,----- FRAME: 6099 time: 11.80ms Moving avg: 13.49ms 15 frames since last 
[2020-01-04 13:17:32]	, ****GameViewState Begin****
[2020-01-04 13:17:32]	,                Graphics_SubmissionIncFrame, 30.79 ms
[2020-01-04 13:17:32]	,            Civ6App_Graphics_IncFrame, 30.98 ms
[2020-01-04 13:17:32]	,----- FRAME: 6146 time: 44.01ms Moving avg: 9.06ms 48 frames since last 
[2020-01-04 13:17:33]	,    DoGameStateSaveRequest, 875.76 ms
[2020-01-04 13:17:33]	,SerialEvent::PreTurnBegin, 876.08 ms
[2020-01-04 13:17:33]	,----- FRAME: 6191 time: 16.34ms Moving avg: 15.13ms 46 frames since last 
[2020-01-04 13:17:33]	,            GameCoreEvent::TurnBegin, 9.36 ms
[2020-01-04 13:17:33]	,            LuaContext::WorldTracker, 24.89 ms
[2020-01-04 13:17:33]	,        SerialEvent::GameCoreEventPublishComplete, 25.00 ms
[2020-01-04 13:17:33]	,                GameViewState_UpdateCache, 58.80 ms
[2020-01-04 13:17:33]	,                    LuaContext::CityBannerManager, 6.67 ms
[2020-01-04 13:17:33]	,                SerialEvent::GameCoreEventPlaybackComplete, 6.75 ms
[2020-01-04 13:17:33]	,            GameViewState_UpdateGameCore, 65.62 ms
[2020-01-04 13:17:33]	,----- FRAME: 6195 time: 123.09ms Moving avg: 17.70ms 5 frames since last 
[2020-01-04 13:17:33]	,                LuaContext::WorldTracker, 10.00 ms
[2020-01-04 13:17:33]	,            GameCoreEvent::ResearchChanged, 10.44 ms
[2020-01-04 13:17:33]	,                LuaContext::WorldTracker, 15.15 ms
[2020-01-04 13:17:33]	,            GameCoreEvent::CivicChanged, 15.49 ms
[2020-01-04 13:17:33]	,----- FRAME: 6206 time: 39.71ms Moving avg: 19.47ms 12 frames since last 
[2020-01-04 13:17:34]	,            LuaContext::UnitPanel, 40.60 ms
[2020-01-04 13:17:34]	,        SerialEvent::UnitSelectionChanged, 42.94 ms
[2020-01-04 13:17:34]	,----- FRAME: 6252 time: 53.46ms Moving avg: 17.66ms 47 frames since last 
[2020-01-04 13:17:44]	,LuaContext::WorldViewIconsManager, 281.65 ms
[2020-01-04 13:17:44]	,LuaContext::UnitPanel, 22.32 ms
[2020-01-04 13:17:44]	,SerialEvent::UnitSelectionChanged, 304.74 ms
[2020-01-04 13:17:44]	,Civ6App_PublishSerialEvents, 304.75 ms
[2020-01-04 13:17:44]	,Civ6App_PublishEvents, 304.80 ms
[2020-01-04 13:17:44]	,----- FRAME: 6848 time: 313.02ms Moving avg: 20.90ms 597 frames since last 
[2020-01-04 13:17:53]	,LuaContext::PlotInfo, 40.92 ms
[2020-01-04 13:17:53]	,SerialEvent::LensLayerOn, 40.99 ms
[2020-01-04 13:17:53]	,----- FRAME: 7350 time: 53.63ms Moving avg: 16.86ms 503 frames since last 
[2020-01-04 13:17:53]	,                LuaContext::WorldTracker, 24.72 ms
[2020-01-04 13:17:53]	,                LuaContext::TechTree, 174.09 ms
[2020-01-04 13:17:53]	,            GameCoreEvent::CityWorkerChanged, 201.30 ms
[2020-01-04 13:17:53]	,        Civ6App_PublishGameCoreEvents, 201.66 ms
[2020-01-04 13:17:53]	,    Civ6App_PublishEvents, 205.42 ms
[2020-01-04 13:17:53]	,----- FRAME: 7389 time: 230.73ms Moving avg: 19.90ms 40 frames since last 
[2020-01-04 13:18:08]	,LuaContext::WorldTracker, 9.34 ms
[2020-01-04 13:18:08]	,GameCoreEvent::ResearchCompleted, 14.00 ms
[2020-01-04 13:18:08]	,----- FRAME: 8269 time: 22.00ms Moving avg: 16.49ms 881 frames since last 
